Method,Simulations,Price,Error
Naive,10000,0.022724,0.00104742
Naive,20000,0.0206853,0.00308619
Naive,30000,0.0237853,1.38619e-05
Antithetic,5000,0.0250273,0.002884
Antithetic,10000,0.0258048,0.00366152
Antithetic,15000,0.0217597,0.000383576
ImportanceSampling,5000,0.0243451,0.00176264
ImportanceSampling,10000,0.0172714,0.00531105
ImportanceSampling,15000,0.0227282,0.000145766
ControlVariates,10000,0.0242705,0.00116263
ControlVariates,20000,0.0228278,0.000280063
Stratified,10000,0.0298066,0.00197126
Stratified,20000,0.0322914,0.00445599
Stratified,30000,0.0279625,0.000127179
