Method,Volatility,Price
Naive,0.1,0.124936
Naive,0.15,0.0492413
Naive,0.2,0.0235637
Naive,0.25,0.0141205
Naive,0.3,0.00852851
Antithetic,0.1,0.124197
Antithetic,0.15,0.0475593
Antithetic,0.2,0.0244976
Antithetic,0.25,0.0125018
Antithetic,0.3,0.00929109
ImportanceSampling,0.1,0.127234
ImportanceSampling,0.15,0.0461583
ImportanceSampling,0.2,0.0232497
ImportanceSampling,0.25,0.0136646
ImportanceSampling,0.3,0.00751146
ControlVariates,0.1,0.125519
ControlVariates,0.15,0.0484197
ControlVariates,0.2,0.0236728
ControlVariates,0.25,0.0140941
ControlVariates,0.3,0.00877753
Stratified,0.1,0.137831
Stratified,0.15,0.0569548
Stratified,0.2,0.0291922
Stratified,0.25,0.0172919
Stratified,0.3,0.0111499
